LATITUDE,LONGITUDE,ACQ_DATE
67.654953,26.735943,2012-08-28
67.653984,26.7283,2012-08-28
64.645142,24.428047,2012-08-28
64.647171,24.424309,2012-08-29
64.645645,24.426914,2012-08-29
60.289108,22.291639,2012-08-29
64.655907,24.432068,2012-08-30
64.644638,24.429317,2012-08-30
64.654343,24.438002,2012-08-30
64.646881,24.434072,2012-08-30
64.64415,24.426376,2012-08-30
64.643486,24.424601,2012-08-30
60.290081,22.286118,2012-08-30
60.285763,22.289759,2012-08-30
64.646278,24.429552,2012-09-03
64.64801,24.424322,2012-09-03
64.643204,24.423353,2012-09-03
60.28896,22.291832,2012-09-03
64.655716,24.436079,2012-09-04
64.652504,24.432085,2012-09-04
64.646049,24.424187,2012-09-04
60.285313,22.294695,2012-09-04
64.653603,24.43434,2012-09-04
64.645805,24.430122,2012-09-04
64.655251,24.434278,2012-09-04
61.32029,22.126612,2012-09-05
60.287621,22.291397,2012-09-05
60.284378,22.288816,2012-09-05
64.654099,24.438389,2012-09-05
64.650131,24.428619,2012-09-05
64.643303,24.425125,2012-09-05
64.645645,24.422716,2012-09-05
64.644867,24.420282,2012-09-05
64.645164,24.432001,2012-09-05
64.648865,24.421053,2012-09-06
64.644516,24.426275,2012-09-06
61.029194,28.171814,2012-09-06
64.650391,24.430992,2012-09-07
64.646927,24.428825,2012-09-07
64.643456,24.426672,2012-09-07
64.64547,24.427708,2012-09-08
64.961006,25.250761,2012-09-08
64.650551,24.420788,2012-09-08
64.644958,24.422756,2012-09-08
64.646606,24.423273,2012-09-09
64.644417,24.432394,2012-09-09
64.645653,24.430162,2012-09-09
64.656181,24.431496,2012-09-09
64.645576,24.430395,2012-09-09
64.645485,24.422186,2012-09-10
64.643906,24.430111,2012-09-10
64.654465,24.432716,2012-09-10
64.654617,24.435463,2012-09-10
64.655273,24.432629,2012-09-11
64.645859,24.424347,2012-09-11
64.647064,24.416302,2012-09-11
64.648506,24.418489,2012-09-11
64.6539,24.434958,2012-09-12
64.650558,24.432648,2012-09-12
64.647224,24.430346,2012-09-12
60.803505,23.562538,2012-09-12
60.255268,23.183235,2012-09-12
64.65155,24.424564,2012-09-13
64.647789,24.422663,2012-09-13
61.029434,28.174358,2012-09-13
60.286343,22.29101,2012-09-13
64.645866,24.422672,2012-09-13
64.647209,24.427538,2012-09-13
64.646088,24.420517,2012-09-13
60.289185,22.288996,2012-09-14
64.644775,24.428379,2012-09-14
60.29295,25.492035,2012-09-14
60.288563,22.291832,2012-09-14
64.646713,24.431322,2012-09-14
60.287411,22.292219,2012-09-15
60.285389,22.294062,2012-09-15
60.295368,25.489376,2012-09-15
64.646774,24.425522,2012-09-15
64.646362,24.429678,2012-09-15
60.285191,22.287666,2012-09-15
64.649673,24.431103,2012-09-16
64.648346,24.438734,2012-09-16
64.646561,24.428156,2012-09-16
64.644585,24.429125,2012-09-16
60.286098,22.290859,2012-09-16
63.085178,21.69059,2012-09-16
63.082603,21.696758,2012-09-16
63.082317,21.6849,2012-09-16
63.079754,21.691128,2012-09-16
61.147987,28.79845,2012-09-18
61.030663,28.175161,2012-09-18
60.286125,22.29207,2012-09-18
64.644127,24.425087,2012-09-18
64.65461,24.437754,2012-09-18
64.650963,24.431501,2012-09-18
64.647331,24.425232,2012-09-18
64.644684,24.433701,2012-09-18
64.6437,24.418941,2012-09-18
60.313099,25.529638,2012-09-18
60.311863,25.536583,2012-09-18
60.287014,22.294563,2012-09-18
64.644028,24.430222,2012-09-19
60.286999,22.292509,2012-09-19
64.645325,24.425982,2012-09-20
60.286987,22.287809,2012-09-20
61.145607,28.79509,2012-09-20
60.287281,22.287817,2012-09-20
60.2896,22.290958,2012-09-20
60.285469,22.289392,2012-09-21
64.646515,24.423603,2012-09-21
64.655396,24.434465,2012-09-22
64.645844,24.426693,2012-09-22
64.643234,24.430376,2012-09-24
64.646919,24.427521,2012-09-25
64.643646,24.423229,2012-09-25
60.286793,22.291805,2012-09-25
64.652878,24.426609,2012-09-29
64.645355,24.422794,2012-09-29
60.285805,22.287495,2012-09-29
64.653412,24.426632,2012-09-29
60.284622,22.291609,2012-09-29
60.287136,22.288935,2012-09-30
60.286732,22.290926,2012-10-03
64.655106,24.431673,2012-10-05
64.646812,24.428463,2012-10-05
64.642662,24.426899,2012-10-05
64.654938,24.434183,2012-10-05
64.648087,24.424236,2012-10-05
64.645485,24.428715,2012-10-05
60.300484,25.52146,2012-10-05
60.296028,25.520391,2012-10-05
60.299225,25.526371,2012-10-06
60.301117,25.519381,2012-10-06
60.295483,25.52223,2012-10-06
